participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.tweet,player.pos_scale,player.opt_scale,player.hap_scale,player.emo_scale,player.not_applicable,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,svxfifts,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.010400+00:00,1,,,0,3,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Tomorrow is my last schoolday before the corona holiday</p>&mdash; Şirin ✨ (@sirin_carpenter) <a href=""https://twitter.com/sirin_carpenter/status/1239285740602830856?ref_src=twsrc%5Etfw"">March 15, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,Pessimistisch/Optimistisch,,,,0,1,3,dxeoxbcw,,,,,,0
4,gl6dn6m7,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.061248+00:00,1,,,0,4,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Infektiologe zur Corona-Pandemie: Wie sieht die Zukunft nach dem Ausbruch aus? <a href=""https://t.co/KuKNtvcRPt"">https://t.co/KuKNtvcRPt</a></p>&mdash; Jörgen Camrath (@uniwave) <a href=""https://twitter.com/uniwave/status/1239204516567945217?ref_src=twsrc%5Etfw"">March 15, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,Pessimistisch/Optimistisch,,,,0,1,3,dxeoxbcw,,,,,,0
1,v90uhrq1,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.900737+00:00,1,,,0,1,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">So kommt Werder durch die Corona-Krise - Kohfeldt kontrolliert Spieler per Sender <a href=""https://t.co/q46NSjuKXG"">https://t.co/q46NSjuKXG</a> <a href=""https://twitter.com/hashtag/Sport?src=hash&amp;ref_src=twsrc%5Etfw"">#Sport</a> <a href=""https://twitter.com/hashtag/News?src=hash&amp;ref_src=twsrc%5Etfw"">#News</a></p>&mdash; BILD Sport (@BILD_Sport) <a href=""https://twitter.com/BILD_Sport/status/1240361508766441477?ref_src=twsrc%5Etfw"">March 18, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,,,Nicht zutreffend,0,1,4,dxeoxbcw,,,,,,0
2,bshc2lm0,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.958666+00:00,1,,,0,2,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">If the plagues of corona virus and locusts we are seeing devastating the earth right now are only.but a pre-amble of the real Birthpains then really each person needs to prepare very well for the Glorious Coming of The Messiah.  <a href=""https://twitter.com/hashtag/ThePropheticTimeline?src=hash&amp;ref_src=twsrc%5Etfw"">#ThePropheticTimeline</a></p>&mdash; Pauline Otinga (@OtingaPauline) <a href=""https://twitter.com/OtingaPauline/status/1236293503795236864?ref_src=twsrc%5Etfw"">March 7, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,Verärgert/Zufrieden,,,0,1,4,dxeoxbcw,,,,,,0
3,svxfifts,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.010400+00:00,1,,,0,3,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">&quot;Der Stand der Dinge.&quot; Vereinbarung zwischen der Bundesregierung und den Regierungschefinnen und Regierungschefs der Bundesländer angesichts der Corona-Epidemie in Deutschland <a href=""https://t.co/8sRypKnoQm"">https://t.co/8sRypKnoQm</a> <a href=""https://twitter.com/hashtag/Merkel?src=hash&amp;ref_src=twsrc%5Etfw"">#Merkel</a> <a href=""https://twitter.com/hashtag/BuReg?src=hash&amp;ref_src=twsrc%5Etfw"">#BuReg</a></p>&mdash; brand campus (@brandcampus) <a href=""https://twitter.com/brandcampus/status/1239604709570338818?ref_src=twsrc%5Etfw"">March 16, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,Pessimistisch/Optimistisch,,,,0,1,4,dxeoxbcw,,,,,,0
4,gl6dn6m7,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.061248+00:00,1,,,0,4,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr""><a href=""https://twitter.com/hashtag/corona?src=hash&amp;ref_src=twsrc%5Etfw"">#corona</a> vielleicht von <a href=""https://twitter.com/hashtag/Russland?src=hash&amp;ref_src=twsrc%5Etfw"">#Russland</a> absichtlich freigesetzt? (Nur zur Sicherheit: ist ein Scherz) <a href=""https://t.co/u7jAkYqdbi"">https://t.co/u7jAkYqdbi</a></p>&mdash; Ulrike Scheffer (@UlrikeScheffer) <a href=""https://twitter.com/UlrikeScheffer/status/1239568457794039814?ref_src=twsrc%5Etfw"">March 16, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,4,dxeoxbcw,,,,,,0
1,v90uhrq1,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.900737+00:00,1,,,0,1,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Alle vier Jahre falte ich ja jemanden hier so richtig zusammen. 2016 waren es hinterfotzige Killer. Diesmal ist es ein Virus. Wäre „Corona gegen Deutschland“ ein Fußballspiel - dann wäre das meine Kabinenansprache.❤️ Pass mal auf, Corona - via <a href=""https://twitter.com/welt?ref_src=twsrc%5Etfw"">@welt</a> <a href=""https://t.co/QtssIy8TEf"">https://t.co/QtssIy8TEf</a></p>&mdash; Philipp Michaelis (@philmich1) <a href=""https://twitter.com/philmich1/status/1240360572467773444?ref_src=twsrc%5Etfw"">March 18, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,5,dxeoxbcw,,,,,,0
2,bshc2lm0,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.958666+00:00,1,,,0,2,"<blockquote class=""twitter-tweet""><p lang=""tr"" dir=""ltr"">Corona virüsü olmayan da ne bilim .....</p>&mdash; Tuncay Güner (@tguner17) <a href=""https://twitter.com/tguner17/status/1239140813738737664?ref_src=twsrc%5Etfw"">March 15, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,,,Nicht zutreffend,0,1,5,dxeoxbcw,,,,,,0
3,svxfifts,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.010400+00:00,1,,,0,3,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Studenten als Helfer, Verdopplung der Intensivbetten, Hotels werden zu Not-Krankenstationen: Neuer Plan soll Deutschland auf schwere Corona-Fälle vorbereiten <a href=""https://t.co/7cpx9SVahX"">https://t.co/7cpx9SVahX</a></p>&mdash; Lars Petersen (@_LarsPetersen) <a href=""https://twitter.com/_LarsPetersen/status/1239958654956134400?ref_src=twsrc%5Etfw"">March 17, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,5,dxeoxbcw,,,,,,0
4,gl6dn6m7,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.061248+00:00,1,,,0,4,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">The Corona Revolution</p>&mdash; alejandro moncada (@caelanoche) <a href=""https://twitter.com/caelanoche/status/1239325935301730304?ref_src=twsrc%5Etfw"">March 15, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,5,dxeoxbcw,,,,,,0
1,v90uhrq1,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.900737+00:00,1,,,0,1,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Ja, hat aber auch keiner wirklich behauptet <a href=""https://twitter.com/hashtag/StayHome?src=hash&amp;ref_src=twsrc%5Etfw"">#StayHome</a> <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> <a href=""https://twitter.com/hashtag/Coronakrise?src=hash&amp;ref_src=twsrc%5Etfw"">#Coronakrise</a> <a href=""https://twitter.com/hashtag/COVID19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19</a></p>&mdash; Cedric von der Hellen (@cvd_chris) <a href=""https://twitter.com/cvd_chris/status/1239953604393332737?ref_src=twsrc%5Etfw"">March 17, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,6,dxeoxbcw,,,,,,0
2,bshc2lm0,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.958666+00:00,1,,,0,2,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Der Kulturbetrieb ist weitgehend runtergefahren.Die Zeitungen geben Streamingtipps,die Kinos übermitteln Nachrichten via FB. Die Corona-Kulturpresseschau beim <a href=""https://twitter.com/perlentaucher00?ref_src=twsrc%5Etfw"">@perlentaucher00</a>  ist dennoch (vielleicht auch deswegen?) ziemlich gut geworden. <a href=""https://twitter.com/hashtag/stayhealthy?src=hash&amp;ref_src=twsrc%5Etfw"">#stayhealthy</a>  <a href=""https://t.co/yypE6DfJ5E"">https://t.co/yypE6DfJ5E</a></p>&mdash; Thomas Groh (@midnightradio) <a href=""https://twitter.com/midnightradio/status/1238756197483851777?ref_src=twsrc%5Etfw"">March 14, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,,,Nicht zutreffend,0,1,6,dxeoxbcw,,,,,,0
3,svxfifts,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.010400+00:00,1,,,0,3,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Danke - auch an <a href=""https://twitter.com/AA_Kultur?ref_src=twsrc%5Etfw"">@AA_Kultur</a> - dass Ihr Euch so kümmert! <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> <a href=""https://twitter.com/hashtag/Kultur?src=hash&amp;ref_src=twsrc%5Etfw"">#Kultur</a> <a href=""https://t.co/pnLshhzoPy"">https://t.co/pnLshhzoPy</a></p>&mdash; Ana Dujić (@dujic_ana) <a href=""https://twitter.com/dujic_ana/status/1238519754115203072?ref_src=twsrc%5Etfw"">March 13, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,6,dxeoxbcw,,,,,,0
4,gl6dn6m7,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.061248+00:00,1,,,0,4,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">ich: will Nudeln essen  <br>Corona : sorri alles schon weg gehamstert🐹🐹🐹<br><br>Bladee,thaiboy,Yung lean,Yves Tumor:   TOUR! <br><br>Corona so  : nop <br>Mein Jahrgang : lass  saufen im park letzter Schultag <br><br>Corona so : Veranstaltung oder private Treffen ab 50 Leuten sind eine Straftat</p>&mdash; kristiniitus (@bothur_kristin) <a href=""https://twitter.com/bothur_kristin/status/1239254265467736065?ref_src=twsrc%5Etfw"">March 15, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,,,Nicht zutreffend,0,1,6,dxeoxbcw,,,,,,0
1,v90uhrq1,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.900737+00:00,1,,,0,1,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Auch die <a href=""https://twitter.com/hashtag/Coworking?src=hash&amp;ref_src=twsrc%5Etfw"">#Coworking</a>-Szene leidet unter Corona. Vermutlich werden einige aufgeben müssen. Wenn man einem <a href=""https://twitter.com/hashtag/CoworkingSpace?src=hash&amp;ref_src=twsrc%5Etfw"">#CoworkingSpace</a> helfen möchte, aber keines kennt, dann am besten dem <a href=""https://twitter.com/TUECHTIG_Berlin?ref_src=twsrc%5Etfw"">@TUECHTIG_Berlin</a> helfen. Es ist ein wichtiger Ort, der erhalten bleiben muss. 🙏 <a href=""https://t.co/gTkJiOf7mk"">https://t.co/gTkJiOf7mk</a></p>&mdash; Tobias Kremkau (@Isarmatrose) <a href=""https://twitter.com/Isarmatrose/status/1240343050087522307?ref_src=twsrc%5Etfw"">March 18, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,7,dxeoxbcw,,,,,,0
2,bshc2lm0,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.958666+00:00,1,,,0,2,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Mögen die Verantwortlichen schnell entscheiden <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> <a href=""https://twitter.com/hashtag/wirbleibenzuhause?src=hash&amp;ref_src=twsrc%5Etfw"">#wirbleibenzuhause</a> <a href=""https://t.co/UOgkt6L9SK"">https://t.co/UOgkt6L9SK</a></p>&mdash; woosigram #Stayathome (🏡) (@PWoosmann) <a href=""https://twitter.com/PWoosmann/status/1240676334235508742?ref_src=twsrc%5Etfw"">March 19, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,Verärgert/Zufrieden,,,0,1,7,dxeoxbcw,,,,,,0
3,svxfifts,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.010400+00:00,1,,,0,3,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Die Maßnahmen gegen die <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a>-Pandemie wirken sich auch auf die demokratische Teilhabe aus. Initiativen fordern angesichts der Demonstrationsverbote die Aussetzung von Zwangsräumungen. <a href=""https://twitter.com/hashtag/CoronaVirusDE?src=hash&amp;ref_src=twsrc%5Etfw"">#CoronaVirusDE</a> <a href=""https://twitter.com/hashtag/coronavirusdeutschland?src=hash&amp;ref_src=twsrc%5Etfw"">#coronavirusdeutschland</a> <a href=""https://t.co/KMmrWfB7aX"">https://t.co/KMmrWfB7aX</a></p>&mdash; neues deutschland (@ndaktuell) <a href=""https://twitter.com/ndaktuell/status/1239967239127756801?ref_src=twsrc%5Etfw"">March 17, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,Verärgert/Zufrieden,,,0,1,7,dxeoxbcw,,,,,,0
4,gl6dn6m7,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.061248+00:00,1,,,0,4,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr""><a href=""https://twitter.com/hashtag/Lesbos?src=hash&amp;ref_src=twsrc%5Etfw"">#Lesbos</a> liegt in <a href=""https://twitter.com/hashtag/Europa?src=hash&amp;ref_src=twsrc%5Etfw"">#Europa</a> &amp; braucht europäische Hilfe. Denn auch dort gibt es den ersten <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a>-Fall, kaum Notfallmedizin für Einheimische, zusätzlich leben tausende Flüchtlinge in unzumutbaren Verhältnissen. <a href=""https://twitter.com/SEENOTRETTUNG?ref_src=twsrc%5Etfw"">@SEENOTRETTUNG</a> will retten. Richtig! <a href=""https://twitter.com/hashtag/savethem?src=hash&amp;ref_src=twsrc%5Etfw"">#savethem</a><a href=""https://t.co/vW3azOn1aW"">https://t.co/vW3azOn1aW</a></p>&mdash; Katja Kipping (@katjakipping) <a href=""https://twitter.com/katjakipping/status/1238465161360482304?ref_src=twsrc%5Etfw"">March 13, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,,,Nicht zutreffend,0,1,7,dxeoxbcw,,,,,,0
1,v90uhrq1,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.900737+00:00,1,,,0,1,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Im Shithole Berlin haben wir ein paar mehr Positive, aber Panik hilft ja auch nicht. Der Besuch im Baumarkt war auch nur um Material zu besorgen damit ich mich während d Ausgangssperre beschäftigen kann.<br>Von Fremden hält man sich hier auch ohne Corona möglichst fern, bin da geübt</p>&mdash; Tina (@TSG1909) <a href=""https://twitter.com/TSG1909/status/1240766097579814913?ref_src=twsrc%5Etfw"">March 19, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,8,dxeoxbcw,,,,,,0
2,bshc2lm0,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.958666+00:00,1,,,0,2,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Hoffen auf das Abflachen der Kurve. Bisher keine klaren Signale, dass die radikalen Maßnahmen das Tempo der Corona-Ausbreitung in Europa verlangsamt haben. Zugleich KEINE weitere Beschleunigung <a href=""https://twitter.com/hashtag/coronavirus?src=hash&amp;ref_src=twsrc%5Etfw"">#coronavirus</a> <a href=""https://t.co/Dm8dQqKkV5"">pic.twitter.com/Dm8dQqKkV5</a></p>&mdash; Daniel D. Eckert (@Tiefseher) <a href=""https://twitter.com/Tiefseher/status/1239624680866275328?ref_src=twsrc%5Etfw"">March 16, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,8,dxeoxbcw,,,,,,0
