tweet,pos,emo
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">WST: Nabu-Mitarbeiter über die Auswirkungen der Corona-Krise auf die Natur in Wedel <a href=""https://t.co/bbgel4mE9g"">https://t.co/bbgel4mE9g</a></p>&mdash; Stadt Wedel (@StadtWedel) <a href=""https://twitter.com/StadtWedel/status/1244586490648199170?ref_src=twsrc%5Etfw"">March 30, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Deutsche halten im Supermarkt mehr Abstand als auf der Autobahn.<a href=""https://twitter.com/hashtag/CoronaVirusDE?src=hash&amp;ref_src=twsrc%5Etfw"">#CoronaVirusDE</a> <a href=""https://twitter.com/hashtag/covid_19DE?src=hash&amp;ref_src=twsrc%5Etfw"">#covid_19DE</a></p>&mdash; Benj Buttons (@bnjbuttons) <a href=""https://twitter.com/bnjbuttons/status/1241427379022630912?ref_src=twsrc%5Etfw"">March 21, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Schöner Artikel über den <a href=""https://twitter.com/hashtag/buchplatz?src=hash&amp;ref_src=twsrc%5Etfw"">#buchplatz</a> meines Vertrauens. Möge er für kräftig Umsatz sorgen: Corona in Frankfurt: Wie eine Buchhandlung die Krise meistert <a href=""https://t.co/ok7PBm18YC"">https://t.co/ok7PBm18YC</a> <a href=""https://twitter.com/hashtag/buylocal?src=hash&amp;ref_src=twsrc%5Etfw"">#buylocal</a><a href=""https://twitter.com/hashtag/supportyourlocalbookstore?src=hash&amp;ref_src=twsrc%5Etfw"">#supportyourlocalbookstore</a> <a href=""https://twitter.com/hashtag/StayHomeReadABook?src=hash&amp;ref_src=twsrc%5Etfw"">#StayHomeReadABook</a></p>&mdash; sorcinaV (@sorcinaV) <a href=""https://twitter.com/sorcinaV/status/1245756912567812101?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Nicht zutreffend,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Bundesregierung in der Corona-Krise: Menschen die Wirklichkeit zumuten <a href=""https://t.co/oRoVVxw3Ba"">https://t.co/oRoVVxw3Ba</a> <a href=""https://t.co/bBAFH7iukh"">pic.twitter.com/bBAFH7iukh</a></p>&mdash; SPIEGEL Ticker (@SPIEGEL_alles) <a href=""https://twitter.com/SPIEGEL_alles/status/1244319297473638400?ref_src=twsrc%5Etfw"">March 29, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Ursula von der <a href=""https://twitter.com/hashtag/Leyen?src=hash&amp;ref_src=twsrc%5Etfw"">#Leyen</a> kämpft dafür, dass die EU in der <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a>-Krise zusammenbleibt. Sie schläft neben ihrem Büro, ihre Familie hat sie seit Wochen nicht mehr gesehen, berichtet <a href=""https://twitter.com/TGutschker?ref_src=twsrc%5Etfw"">@TGutschker</a> für <a href=""https://twitter.com/hashtag/Fplus?src=hash&amp;ref_src=twsrc%5Etfw"">#Fplus</a>: <a href=""https://t.co/2VTY9d6qzq"">https://t.co/2VTY9d6qzq</a></p>&mdash; FAZ Politik (@FAZ_Politik) <a href=""https://twitter.com/FAZ_Politik/status/1244346766117527554?ref_src=twsrc%5Etfw"">March 29, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Arbeiten bei Bild nur Rassist*innen? <br><br>Heute:<br><br>Corona-Verdacht!<br>Kranker Pole beim Schwarzfahren erwischt.</p>&mdash; roquetoimil@gmail.com (@J_LinXs) <a href=""https://twitter.com/J_LinXs/status/1245599147891154947?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Berliner Wirte: Ende April wird es für viele Restaurants wegen der Corona-Verordnung eng <a href=""https://t.co/UVFAavijjQ"">https://t.co/UVFAavijjQ</a></p>&mdash; Stephan Dreyse (@sDreyse) <a href=""https://twitter.com/sDreyse/status/1242879905521643520?ref_src=twsrc%5Etfw"">March 25, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">In der Politischen Ökonomie wird die soziale Formbestimmung mit stofflichen Eigenschaften gleichgesetzt; während <a href=""https://twitter.com/hashtag/Covid_19?src=hash&amp;ref_src=twsrc%5Etfw"">#Covid_19</a> wird <a href=""https://twitter.com/hashtag/PhysicalDistancing?src=hash&amp;ref_src=twsrc%5Etfw"">#PhysicalDistancing</a> mit <a href=""https://twitter.com/hashtag/SocialDistancing?src=hash&amp;ref_src=twsrc%5Etfw"">#SocialDistancing</a> verwechselt.</p>&mdash; (((Ingo Stützle))) (@istuetzle) <a href=""https://twitter.com/istuetzle/status/1245304891016445954?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Nicht zutreffend,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Corona: COVInsAG und die Suspendierung der Insolvenzantragspflicht <a href=""https://t.co/RfDIiZ0giU"">https://t.co/RfDIiZ0giU</a> <a href=""https://t.co/2qWAnzpv2r"">pic.twitter.com/2qWAnzpv2r</a></p>&mdash; Kümmerlein (@KuemmerleinRAe) <a href=""https://twitter.com/KuemmerleinRAe/status/1244947057133015041?ref_src=twsrc%5Etfw"">March 31, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Auch an euch: Bitte bleibt gesund! 💚 <a href=""https://twitter.com/hashtag/gesundheit?src=hash&amp;ref_src=twsrc%5Etfw"">#gesundheit</a> <a href=""https://twitter.com/hashtag/covid19?src=hash&amp;ref_src=twsrc%5Etfw"">#covid19</a> <a href=""https://twitter.com/hashtag/corona?src=hash&amp;ref_src=twsrc%5Etfw"">#corona</a> <a href=""https://twitter.com/hashtag/stayhome?src=hash&amp;ref_src=twsrc%5Etfw"">#stayhome</a> <a href=""https://twitter.com/hashtag/bleibtzuhause?src=hash&amp;ref_src=twsrc%5Etfw"">#bleibtzuhause</a> <a href=""https://twitter.com/hashtag/miteinander?src=hash&amp;ref_src=twsrc%5Etfw"">#miteinander</a> <a href=""https://twitter.com/hashtag/mdrjump?src=hash&amp;ref_src=twsrc%5Etfw"">#mdrjump</a> <a href=""https://twitter.com/hashtag/sachsen?src=hash&amp;ref_src=twsrc%5Etfw"">#sachsen</a> <a href=""https://twitter.com/hashtag/sachsenanhalt?src=hash&amp;ref_src=twsrc%5Etfw"">#sachsenanhalt</a> <a href=""https://twitter.com/hashtag/th%C3%BCringen?src=hash&amp;ref_src=twsrc%5Etfw"">#thüringen</a> <a href=""https://t.co/tBDDpqYvyR"">pic.twitter.com/tBDDpqYvyR</a></p>&mdash; MDR JUMP (@mdrjump) <a href=""https://twitter.com/mdrjump/status/1245229500868243457?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Corona-Krise und das Reisen: Kleine Welt ganz groß <a href=""https://t.co/kZDe7BAZ8U"">https://t.co/kZDe7BAZ8U</a> <a href=""https://t.co/q5NdgIDWPk"">pic.twitter.com/q5NdgIDWPk</a></p>&mdash; SPIEGEL Ticker (@SPIEGEL_alles) <a href=""https://twitter.com/SPIEGEL_alles/status/1245258617881628672?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Lasst uns gemeinsam von Deiner Hochzeit träumen!<br>.<br>Morgen wird alles besser.<a href=""https://twitter.com/hashtag/thinkpositive?src=hash&amp;ref_src=twsrc%5Etfw"">#thinkpositive</a> <br>.<br>.<br>.<br>.<a href=""https://twitter.com/hashtag/einbesseresmorgen?src=hash&amp;ref_src=twsrc%5Etfw"">#einbesseresmorgen</a> <a href=""https://twitter.com/hashtag/homeoffice?src=hash&amp;ref_src=twsrc%5Etfw"">#homeoffice</a> <a href=""https://twitter.com/hashtag/corona?src=hash&amp;ref_src=twsrc%5Etfw"">#corona</a> <a href=""https://twitter.com/hashtag/positivethinking?src=hash&amp;ref_src=twsrc%5Etfw"">#positivethinking</a> <a href=""https://twitter.com/hashtag/tomorrow?src=hash&amp;ref_src=twsrc%5Etfw"">#tomorrow</a> <a href=""https://twitter.com/hashtag/tomorrowbride?src=hash&amp;ref_src=twsrc%5Etfw"">#tomorrowbride</a> <a href=""https://twitter.com/hashtag/bridetobe2020?src=hash&amp;ref_src=twsrc%5Etfw"">#bridetobe2020</a> <a href=""https://twitter.com/hashtag/bridaldress?src=hash&amp;ref_src=twsrc%5Etfw"">#bridaldress</a>… <a href=""https://t.co/LfOe5G8NJu"">https://t.co/LfOe5G8NJu</a></p>&mdash; Phillin Dubiel by Klamotte&#39; (@pdbridal) <a href=""https://twitter.com/pdbridal/status/1241038164342517760?ref_src=twsrc%5Etfw"">March 20, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Ich gebe uns noch einen Monat mit der <a href=""https://twitter.com/hashtag/Pandemie?src=hash&amp;ref_src=twsrc%5Etfw"">#Pandemie</a> bis die Leute realisieren, daß ohne <a href=""https://twitter.com/hashtag/Feierabendbier?src=hash&amp;ref_src=twsrc%5Etfw"">#Feierabendbier</a> wesentlich mehr Leute drauf gehen als durch <a href=""https://twitter.com/hashtag/Covid_19?src=hash&amp;ref_src=twsrc%5Etfw"">#Covid_19</a> 😓😓😉😉</p>&mdash; Larry Parker (@LarryParker1960) <a href=""https://twitter.com/LarryParker1960/status/1244565925325660160?ref_src=twsrc%5Etfw"">March 30, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Wird die <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a>-<a href=""https://twitter.com/hashtag/Krise?src=hash&amp;ref_src=twsrc%5Etfw"">#Krise</a> schwerer als die <a href=""https://twitter.com/hashtag/Lehman?src=hash&amp;ref_src=twsrc%5Etfw"">#Lehman</a>-Krise? Über den Spagat zwischen medialer Übertreibung und echter Gefahr. <a href=""https://t.co/QZAXi966a8"">https://t.co/QZAXi966a8</a> <a href=""https://twitter.com/hashtag/Interview?src=hash&amp;ref_src=twsrc%5Etfw"">#Interview</a> <a href=""https://t.co/7UVB6H2hsQ"">pic.twitter.com/7UVB6H2hsQ</a></p>&mdash; Sparkasse Witten (@sparkassewitten) <a href=""https://twitter.com/sparkassewitten/status/1245020298057039872?ref_src=twsrc%5Etfw"">March 31, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Hier könnt ihr die neue Folge unseres Podcasts <a href=""https://twitter.com/hashtag/Coronaundwir?src=hash&amp;ref_src=twsrc%5Etfw"">#Coronaundwir</a> hören. Diesmal unterhält sich <a href=""https://twitter.com/ImreGrimm?ref_src=twsrc%5Etfw"">@ImreGrimm</a> mit einem <a href=""https://twitter.com/hashtag/DRK?src=hash&amp;ref_src=twsrc%5Etfw"">#DRK</a>-Helfer über <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a>-Tests. <a href=""https://twitter.com/hashtag/COVID2019?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID2019</a> <a href=""https://t.co/vyqJMITFHn"">https://t.co/vyqJMITFHn</a></p>&mdash; RND (@RND_de) <a href=""https://twitter.com/RND_de/status/1242816012636041218?ref_src=twsrc%5Etfw"">March 25, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Gehaltsverzicht bei Union wegen Corona-Krise? Parensen tut’s weh <a href=""https://t.co/fIdDSSm16Z"">https://t.co/fIdDSSm16Z</a></p>&mdash; BZ Berlin B.Z. (@bzberlin) <a href=""https://twitter.com/bzberlin/status/1245263069724528640?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Corona als Treiber des digitalen Hörbuchs <a href=""https://t.co/Dfjd43GYJM"">https://t.co/Dfjd43GYJM</a></p>&mdash; bookbytes (@bookbytes_net) <a href=""https://twitter.com/bookbytes_net/status/1244603389817872384?ref_src=twsrc%5Etfw"">March 30, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Coronavirus - Plötzlich Hartz IV? <a href=""https://t.co/OlhzKc54U8"">https://t.co/OlhzKc54U8</a><a href=""https://twitter.com/hashtag/K%C3%BCndigungerhalten?src=hash&amp;ref_src=twsrc%5Etfw"">#Kündigungerhalten</a> <a href=""https://twitter.com/hashtag/Notbevorratung?src=hash&amp;ref_src=twsrc%5Etfw"">#Notbevorratung</a> <a href=""https://twitter.com/hashtag/HartzIV?src=hash&amp;ref_src=twsrc%5Etfw"">#HartzIV</a> <a href=""https://twitter.com/hashtag/Arbeitslos?src=hash&amp;ref_src=twsrc%5Etfw"">#Arbeitslos</a> <a href=""https://twitter.com/hashtag/Arbeitsrecht?src=hash&amp;ref_src=twsrc%5Etfw"">#Arbeitsrecht</a> <a href=""https://twitter.com/hashtag/SGBII?src=hash&amp;ref_src=twsrc%5Etfw"">#SGBII</a> <a href=""https://twitter.com/hashtag/Coronavirus?src=hash&amp;ref_src=twsrc%5Etfw"">#Coronavirus</a> <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> <a href=""https://twitter.com/hashtag/Infiziert?src=hash&amp;ref_src=twsrc%5Etfw"">#Infiziert</a> <a href=""https://twitter.com/hashtag/Einkaufen?src=hash&amp;ref_src=twsrc%5Etfw"">#Einkaufen</a> <a href=""https://twitter.com/hashtag/keinEssen?src=hash&amp;ref_src=twsrc%5Etfw"">#keinEssen</a></p>&mdash; PR Gateway (@presseticker) <a href=""https://twitter.com/presseticker/status/1242742713025531904?ref_src=twsrc%5Etfw"">March 25, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">3am Recent Game Pickup. Ebay autotranslates it to Streitmacht. Probably the last one for a while until this corona stuff gets figured out... <a href=""https://t.co/EFAI6cjVjR"">pic.twitter.com/EFAI6cjVjR</a></p>&mdash; C------ Z++++++ 🍊 (@CarstenZarbock) <a href=""https://twitter.com/CarstenZarbock/status/1244424111553753094?ref_src=twsrc%5Etfw"">March 30, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Nicht zutreffend
